"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","MPN","Mouser_PN","MFN"
"C1,C2","2","100nF","","","","CL10B104KC8NNNC "," 187-CL10B104KC8NNNC ","Samsung Electro-Mechanics "
"R1,R2","2","150R","","",""," RC0603FR-10150RL "," 603-RC0603FR-10150RL ","YAGEO"
"J1","1","Conn_01x02","","","","XT-30","",""
"J2","1","Conn_01x04","","",""," B4B-PH-K-S(LF)(SN) "," 306-B4BPHKSLFSNPP ","JST Commercial "
"H1,H2,H3,H4","4","Mounting hole","","","","","",""
"TH1","1","Thermistor_NTC","","",""," SM102B1K "," 803-SM102B1K ","Littlefuse"
"TH2","1","Thermistor_NTC","","","","SM102B1K "," 803-SM102B1K ","Littlefuse"
